BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
46.92,47.18,46.15,47.08,16296700,49.0,49.38,48.11,49.29,15376000,126.7,129.44,124.23,128.87,6188700,39.83,40.36,39.3,40.19,12838600,57.17,58.49,56.74,58.31,5377000,63.2,63.95,62.39,63.8,5508200
47.0,47.24,46.45,46.58,17757900,48.86,49.1,48.35,48.38,18709000,127.35,128.91,126.38,127.09,4861600,39.78,40.14,39.42,39.62,13491500,58.7,59.28,58.35,58.35,7977800,63.6,63.64,62.73,63.06,5435000
46.58,46.83,46.32,46.64,14970700,48.44,48.78,48.4,48.62,11431000,126.0,127.32,125.61,127.04,3717400,39.61,39.81,39.5,39.74,8109400,58.55,58.59,58.02,58.51,5778000,63.0,63.11,62.62,62.99,5079000
46.8,46.91,46.35,46.57,12599800,48.88,48.9,48.2,48.62,13702000,127.29,129.25,127.29,128.84,4319600,39.92,40.24,39.55,40.02,7966900,58.77,58.85,58.05,58.57,6889800,63.16,63.55,62.77,63.36,4201900
46.72,46.97,46.36,46.6,15619400,48.6,48.74,48.3,48.39,16807000,128.5,130.62,128.0,130.39,4723500,39.88,40.72,39.88,40.67,16575200,58.63,59.29,58.6244,59.19,4144500,63.35,63.65,63.11,63.35,2809800
46.4,46.51,45.88,46.21,15634600,48.3,48.55,48.08,48.54,13658000,130.05,132.95,130.02,132.03,5536800,40.5,40.75,40.07,40.73,16614800,58.85,59.22,58.58,59.22,4713600,63.1,63.37,62.89,63.3,3578900
46.06,46.25,45.75,46.1,14742100,49.58,49.58,48.58,48.98,16843000,131.45,133.8,131.42,131.97,4671400,40.73,40.87,40.61,40.7,12332300,59.15,59.88,58.84,59.57,5837900,63.3,63.79,63.15,63.63,4023500
46.22,46.23,45.71,45.8,10546600,49.1,49.1,48.88,49.03,12300000,131.4,133.21,131.38,132.25,3725500,40.25,40.42,39.9,39.95,12230000,59.63,59.78,59.27,59.47,3817700,63.41,63.58,62.86,62.89,5381800
45.83,46.0,45.68,45.8,10791000,49.1,49.19,48.73,48.92,9408000,132.02,133.66,131.9,133.26,2894900,39.78,40.03,39.65,39.92,10961200,59.57,59.67,59.06,59.38,3430900,63.1,63.59,63.02,63.25,3182800
45.4,45.58,45.0,45.31,14605900,48.51,48.7,48.27,48.43,12377000,131.0,133.13,130.59,132.59,3621600,39.48,39.82,39.41,39.71,9941100,59.45,59.46,58.68,58.81,2624700,62.92,63.15,62.4,62.6,5345200
